Sample_ID_pore,MSI
GW654.0.1.7.13.02,0.363022942
FW303.11.2.20.13.02,0.410931174
GW800.12.12.12.02,0.511605938
GW683.53.2.18.13.02,0.531174089
GW533.48.11.28.12.02,0.537031796
GW750.28.12.12.12.02,0.552215385
GW220.50.12.12.12.02,0.554251012
GW151.12.12.12.02,0.583265857
GW084.56.11.28.12.02,0.614946154
GW921.86.1.28.13.02,0.628205128
GW066.71.2.20.13.02,0.630957344
GW773.35.2.4.13.02,0.637761538
GW714.34.2.12.13.02,0.693927126
GW271.66.2.18.13.02,0.704318489
GW715.65.2.12.13.02,0.719163293
GW782.72.2.18.13.02,0.751012146
GW621.21.12.17.12.02,0.763174365
GW775.88.1.29.13.02,0.787044534
GW314.97.2.19.13.02,0.837772702
GW198.41.2.11.13.02,0.87096359
GW763.23.1.22.13.02,0.943994602
GW056.87.1.8.13.02,1.058164642
GW761.29.1.28.13.02,1.064397825
GW089.62.1.7.13.02,1.122018454
GW685.6.1.8.13.02,1.222807018
GW765.77.1.11.13.02,1.240866667
GW737.12.12.12.02,1.264777328
GW057.10.1.8.13.02,1.353576248
GW223.39.1.8.13.02,1.4016
GW60.1A.60.2.4.13.02,1.452091768
GW283.43.1.29.13.02,1.469635628
GW098.57.1.22.13.02,1.796221323
GW148.12.17.12.02,1.887989204
GW694.33.12.3.12.02,1.948292586
GW162.37.2.19.13.02,2.041737945
GW086.25.12.3.12.02,2.69736673
GW736.14.12.3.12.02,2.883564621
GW531.83.11.28.12.02,3.235936569
FW301.81.2.20.13.02,3.801893963
GW803.31.1.23.13.02,3.981071706
GW384.12.17.12.02,4.565356667
GW199.42.1.28.13.02,4.7355
GW704.5.12.17.12.02,4.747026062
GW764.23.1.11.13.02,4.9621
GW085.58.12.3.12.02,5.472832732
GW641.30.1.23.13.02,5.623413252
GW929.2.11.13.02,6.60693448
GW706.96.12.17.12.02,7.572
GW636.32.1.28.13.02,9.332543008
GW115.2.11.26.12.02,9.47475
GW107.91.12.11.12.02,9.49025
GW350.74.2.12.13.02,9.4935
GW190.22.12.11.12.02,9.511
GW127.16.11.26.12.02,9.53825
FW511.61.11.26.12.02,11.8547
GW804.13.2.11.13.02,12.30268771
GW363.94.1.22.13.02,16.98243652
GW345.51.11.27.12.02,17.1018
GW658.63.1.23.13.02,17.73540833
GW385.80.2.18.13.02,19.498446
GW705.9.2.21.13.02,19.498446
GW639.90.1.23.13.02,19.95262315
DP16D.67.11.27.12.02,24.81373333
GW228.12.2.4.13.02,25.70395783
GW755.69.1.8.13.02,27.54228703
GW122.78.11.14.12.02,42.0626
FW233.17.2.99.11.28.12.02,43.697
GW779.8.2.18.13.02,44.66835922
GW631.98.12.11.12.02,47.86300923
FW215.84.11.27..12.02,48.4077
TPB16.81.11.28.12.02,51.08823333
GW105.12.11.12.02,72.998
GW925.68.1.28.13.02,77.62471166
FW602.2.26.2.11.28.12.02,81.656
FW510.26.11.26.12.02,97.7237221
GW123.93.11.14.12.02,123.0268771
GW125.85.2.20.13.02,123.0268771
GW537.24.11.26.12.02,140.559
FW109.40.92.11.14.12.02,145.5357667
GW101.11.13.12.02,147.09
FW603.55.12.3.12.02,375.26
FW410.28.46.11.13.12.02,434.069
FW021.46.11.27.12.02,450.69
GW346.47.11.27.12.02,459.063
PTMW02.4.12.11.12.02,507.757
FW106.11.13.12.02,554.1518
GW526.15.11.27.12.02,584.996
GW754.40.1.7.13.02,741.3102413
FW104.67.11.14.12.02,906.87
GW246.1.11.26.12.02,1347.13
GW247.7.11.14.12.02,1444.65
